,0
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,0
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
81,1
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,0
105,0
106,1
107,0
108,0
109,1
110,0
111,1
113,1
114,0
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,1
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,0
162,0
163,1
165,0
166,1
167,0
168,1
169,0
170,0
171,0
173,0
174,0
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,0
190,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,1
215,0
216,1
217,1
218,1
219,0
220,1
221,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,0
250,1
251,1
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,0
261,0
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,0
280,0
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,1
322,0
323,0
324,1
325,1
326,0
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,0
472,0
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,1
489,0
490,1
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,0
505,0
506,1
507,0
508,1
509,1
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,0
526,1
527,1
528,0
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,0
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,0
